id,t_date,code,name,p_open,p_high,p_low,p_close,volume,industrial
240820190731 ,2019/7/31,2408,南亞科,76,76,72.8,74,31823,半導體業
240820190730 ,2019/7/30,2408,南亞科,76.3,77,73.4,75.8,32284,半導體業
240820190729 ,2019/7/29,2408,南亞科,76.2,76.5,74.8,74.8,26992,半導體業
240820190726 ,2019/7/26,2408,南亞科,74.3,77.8,74.3,77,31896,半導體業
240820190725 ,2019/7/25,2408,南亞科,72.6,76.6,72.3,76.5,42286,半導體業
240820190724 ,2019/7/24,2408,南亞科,71.7,72,70.3,71.8,28809,半導體業
240820190723 ,2019/7/23,2408,南亞科,71.3,72.9,71.3,72.3,41537,半導體業
240820190722 ,2019/7/22,2408,南亞科,68.6,70,68.6,69.8,39338,半導體業
240820190719 ,2019/7/19,2408,南亞科,67.9,68.4,66.8,67.7,15352,半導體業
240820190718 ,2019/7/18,2408,南亞科,68.5,68.8,66.7,66.7,20533,半導體業
240820190717 ,2019/7/17,2408,南亞科,66.6,68.9,66.4,67.7,26711,半導體業
240820190716 ,2019/7/16,2408,南亞科,69.9,70,67.3,67.9,33900,半導體業
240820190715 ,2019/7/15,2408,南亞科,66.8,69.9,66.8,69.9,42378,半導體業
240820190712 ,2019/7/12,2408,南亞科,66,69.2,65.8,66.7,68227,半導體業
240820190711 ,2019/7/11,2408,南亞科,65.6,65.6,64.7,65.4,36232,半導體業
240820190710 ,2019/7/10,2408,南亞科,64,64.5,63.2,64.4,35835,半導體業
240820190709 ,2019/7/9,2408,南亞科,61.7,62.8,60.8,62.8,20813,半導體業
240820190708 ,2019/7/8,2408,南亞科,61.9,63,60.3,61,19246,半導體業
240820190705 ,2019/7/5,2408,南亞科,59.8,62.3,59.7,62,22847,半導體業
240820190704 ,2019/7/4,2408,南亞科,58.1,59.8,58.1,59.2,35507,半導體業
240820190703 ,2019/7/3,2408,南亞科,66,66.3,64.7,65.2,29252,半導體業
240820190702 ,2019/7/2,2408,南亞科,66.2,66.7,66.2,66.3,19465,半導體業
240820190701 ,2019/7/1,2408,南亞科,66,66.2,65.3,66,22547,半導體業
240820190628 ,2019/6/28,2408,南亞科,64.6,64.6,64.1,64.5,12443,半導體業
240820190627 ,2019/6/27,2408,南亞科,63.6,64.3,63.6,64.1,13650,半導體業
240820190626 ,2019/6/26,2408,南亞科,64.5,64.9,63.2,63.7,12692,半導體業
240820190625 ,2019/6/25,2408,南亞科,63.3,64.6,63.3,63.3,18459,半導體業
240820190624 ,2019/6/24,2408,南亞科,63.2,63.5,62.6,63.1,8805,半導體業
240820190621 ,2019/6/21,2408,南亞科,62.5,63.4,62.5,63,13248,半導體業
240820190620 ,2019/6/20,2408,南亞科,62.1,62.8,61.8,62.3,10055,半導體業
240820190619 ,2019/6/19,2408,南亞科,61.5,62.3,61.4,62.1,18375,半導體業
240820190618 ,2019/6/18,2408,南亞科,61.2,61.3,60.7,60.9,6322,半導體業
240820190617 ,2019/6/17,2408,南亞科,60.9,61.5,60.8,60.9,6864,半導體業
240820190614 ,2019/6/14,2408,南亞科,60.9,61.2,60.8,60.8,7364,半導體業
240820190613 ,2019/6/13,2408,南亞科,60.5,61.2,60.1,60.9,7435,半導體業
240820190612 ,2019/6/12,2408,南亞科,59.8,60.7,59.7,60.7,10956,半導體業
240820190611 ,2019/6/11,2408,南亞科,59.5,59.9,59.3,59.4,10851,半導體業
240820190610 ,2019/6/10,2408,南亞科,60,60,59.1,59.3,14248,半導體業
240820190606 ,2019/6/6,2408,南亞科,60.1,60.2,58.8,59.2,17569,半導體業
240820190605 ,2019/6/5,2408,南亞科,61.6,62.2,60.5,60.5,11790,半導體業
240820190604 ,2019/6/4,2408,南亞科,61.2,61.2,60.8,60.9,12908,半導體業
240820190603 ,2019/6/3,2408,南亞科,61,62.2,60.6,61.9,9757,半導體業
240820190531 ,2019/5/31,2408,南亞科,60.4,61.8,60.3,61.6,18070,半導體業
240820190530 ,2019/5/30,2408,南亞科,58.4,60,58.2,60,14207,半導體業
240820190529 ,2019/5/29,2408,南亞科,59.7,60,57.8,58,24613,半導體業
240820190528 ,2019/5/28,2408,南亞科,61.3,61.3,60.3,60.9,15135,半導體業
240820190527 ,2019/5/27,2408,南亞科,60.1,61.5,60.1,60.5,6251,半導體業
240820190524 ,2019/5/24,2408,南亞科,60,60.3,59.6,59.8,8085,半導體業
240820190523 ,2019/5/23,2408,南亞科,60.3,60.4,59.9,60.2,10797,半導體業
240820190522 ,2019/5/22,2408,南亞科,61.5,61.6,60.8,60.8,5028,半導體業
240820190521 ,2019/5/21,2408,南亞科,60.8,61.5,60.7,61.5,9656,半導體業
240820190520 ,2019/5/20,2408,南亞科,60.6,61.3,60.6,60.9,7072,半導體業
240820190517 ,2019/5/17,2408,南亞科,61.2,61.6,60.6,60.6,9301,半導體業
240820190516 ,2019/5/16,2408,南亞科,62.2,62.2,61,61,10908,半導體業
240820190515 ,2019/5/15,2408,南亞科,61.7,62.9,61.7,62,12025,半導體業
240820190514 ,2019/5/14,2408,南亞科,59.9,61.5,59.2,61.5,15948,半導體業
240820190513 ,2019/5/13,2408,南亞科,63.5,64.1,61,61.1,15222,半導體業
240820190510 ,2019/5/10,2408,南亞科,64.4,65.3,63.3,63.8,11167,半導體業
240820190509 ,2019/5/9,2408,南亞科,65.5,65.7,64,64.2,11995,半導體業
240820190508 ,2019/5/8,2408,南亞科,65.2,66,65,65.9,6725,半導體業
240820190507 ,2019/5/7,2408,南亞科,65.3,66.4,65.3,66.2,8826,半導體業
240820190506 ,2019/5/6,2408,南亞科,66,66,64.7,65,15985,半導體業
240820190503 ,2019/5/3,2408,南亞科,65.7,66.8,65.6,66.7,11702,半導體業
240820190502 ,2019/5/2,2408,南亞科,65.8,66.4,65.5,65.7,8988,半導體業
240820190430 ,2019/4/30,2408,南亞科,64.6,65.8,64.6,65.4,13401,半導體業
240820190429 ,2019/4/29,2408,南亞科,66,66.4,64.5,64.7,12883,半導體業
240820190426 ,2019/4/26,2408,南亞科,65.5,66.2,64.7,66,13586,半導體業
240820190425 ,2019/4/25,2408,南亞科,65.4,67,64.8,65.5,30878,半導體業
240820190424 ,2019/4/24,2408,南亞科,64.9,65.8,64.6,65.4,20394,半導體業
240820190423 ,2019/4/23,2408,南亞科,64.4,65.4,63.4,64.9,20277,半導體業
240820190422 ,2019/4/22,2408,南亞科,64.1,64.3,63.7,63.8,5236,半導體業
240820190419 ,2019/4/19,2408,南亞科,63.5,64.4,63.3,63.7,10400,半導體業
240820190418 ,2019/4/18,2408,南亞科,64.2,64.3,62.8,63.1,14024,半導體業
240820190417 ,2019/4/17,2408,南亞科,62.7,64.2,61.7,63.9,30732,半導體業
240820190416 ,2019/4/16,2408,南亞科,61.9,62.7,61.8,62.7,11865,半導體業
240820190415 ,2019/4/15,2408,南亞科,61.1,61.9,60.8,61.7,9115,半導體業
240820190412 ,2019/4/12,2408,南亞科,61.2,61.5,60.4,60.5,16381,半導體業
240820190411 ,2019/4/11,2408,南亞科,62.9,63.2,61.6,61.6,11718,半導體業
240820190410 ,2019/4/10,2408,南亞科,62.5,62.7,62.1,62.5,7158,半導體業
240820190409 ,2019/4/9,2408,南亞科,63.3,63.3,62.5,62.6,6550,半導體業
240820190408 ,2019/4/8,2408,南亞科,62.3,63.2,62.1,63,17621,半導體業
240820190403 ,2019/4/3,2408,南亞科,62,62.5,61.7,62.3,9609,半導體業
240820190402 ,2019/4/2,2408,南亞科,61.5,62.4,61.2,61.7,17246,半導體業
240820190401 ,2019/4/1,2408,南亞科,62.3,62.4,61,61,12308,半導體業
240820190329 ,2019/3/29,2408,南亞科,60.8,61.4,60.8,61.4,7957,半導體業
240820190328 ,2019/3/28,2408,南亞科,60.6,60.9,60.2,60.8,8786,半導體業
240820190327 ,2019/3/27,2408,南亞科,61.2,61.6,60.7,61.1,7891,半導體業
240820190326 ,2019/3/26,2408,南亞科,61.7,61.8,60.7,61,11311,半導體業
240820190325 ,2019/3/25,2408,南亞科,62,62,60.8,61.1,16153,半導體業
