id,t_date,code,name,p_open,p_high,p_low,p_close,volume,industrial
230320190731 ,2019/7/31,2303,聯電,13.7,13.9,13.65,13.8,56483,半導體業
230320190730 ,2019/7/30,2303,聯電,13.5,13.75,13.45,13.6,40138,半導體業
230320190729 ,2019/7/29,2303,聯電,13.3,13.45,13.3,13.4,23291,半導體業
230320190726 ,2019/7/26,2303,聯電,13.55,13.55,13.2,13.2,64243,半導體業
230320190725 ,2019/7/25,2303,聯電,13.85,13.95,13.4,13.55,91753,半導體業
230320190724 ,2019/7/24,2303,聯電,13.7,13.9,13.6,13.85,36239,半導體業
230320190723 ,2019/7/23,2303,聯電,13.6,13.75,13.55,13.6,29468,半導體業
230320190722 ,2019/7/22,2303,聯電,13.75,13.85,13.55,13.6,32143,半導體業
230320190719 ,2019/7/19,2303,聯電,13.9,14.05,13.8,13.8,27177,半導體業
230320190718 ,2019/7/18,2303,聯電,13.8,13.9,13.75,13.8,19897,半導體業
230320190717 ,2019/7/17,2303,聯電,13.9,13.95,13.75,13.75,36203,半導體業
230320190716 ,2019/7/16,2303,聯電,14.35,14.35,13.95,14,66174,半導體業
230320190715 ,2019/7/15,2303,聯電,14.65,14.9,14.5,14.9,62793,半導體業
230320190712 ,2019/7/12,2303,聯電,14.8,14.9,14.6,14.6,62666,半導體業
230320190711 ,2019/7/11,2303,聯電,14.7,15,14.6,14.95,92427,半導體業
230320190710 ,2019/7/10,2303,聯電,14.1,14.7,14.1,14.65,61151,半導體業
230320190709 ,2019/7/9,2303,聯電,13.95,14.1,13.85,14,24138,半導體業
230320190708 ,2019/7/8,2303,聯電,13.95,14.05,13.8,13.95,25192,半導體業
230320190705 ,2019/7/5,2303,聯電,14.05,14.2,13.9,14.1,20385,半導體業
230320190704 ,2019/7/4,2303,聯電,14.1,14.2,14,14.15,12645,半導體業
230320190703 ,2019/7/3,2303,聯電,14.15,14.25,14,14.05,22615,半導體業
230320190702 ,2019/7/2,2303,聯電,14.4,14.4,14.2,14.25,17392,半導體業
230320190701 ,2019/7/1,2303,聯電,14.05,14.45,14.05,14.35,47181,半導體業
230320190628 ,2019/6/28,2303,聯電,14.1,14.1,13.85,13.95,32308,半導體業
230320190627 ,2019/6/27,2303,聯電,13.95,14.1,13.9,14,62429,半導體業
230320190626 ,2019/6/26,2303,聯電,13.85,13.95,13.75,13.8,59485,半導體業
230320190625 ,2019/6/25,2303,聯電,13.75,13.85,13.65,13.7,26115,半導體業
230320190624 ,2019/6/24,2303,聯電,13.55,13.8,13.5,13.75,25972,半導體業
230320190621 ,2019/6/21,2303,聯電,13.55,13.7,13.45,13.7,48461,半導體業
230320190620 ,2019/6/20,2303,聯電,13.7,13.75,13.35,13.4,38935,半導體業
230320190619 ,2019/6/19,2303,聯電,13.45,13.65,13.35,13.65,48300,半導體業
230320190618 ,2019/6/18,2303,聯電,13.65,13.65,13.25,13.25,41290,半導體業
230320190617 ,2019/6/17,2303,聯電,13.7,13.85,13.6,13.65,30523,半導體業
230320190614 ,2019/6/14,2303,聯電,13.7,13.75,13.6,13.7,28211,半導體業
230320190613 ,2019/6/13,2303,聯電,13.5,13.95,13.4,13.75,70097,半導體業
230320190612 ,2019/6/12,2303,聯電,13.45,13.55,13.35,13.55,30229,半導體業
230320190611 ,2019/6/11,2303,聯電,13.35,13.45,13.25,13.4,30040,半導體業
230320190610 ,2019/6/10,2303,聯電,13.2,13.3,13.05,13.3,28170,半導體業
230320190606 ,2019/6/6,2303,聯電,12.9,13.1,12.85,13.05,30583,半導體業
230320190605 ,2019/6/5,2303,聯電,13.15,13.2,12.9,12.9,24276,半導體業
230320190604 ,2019/6/4,2303,聯電,13.15,13.3,12.9,13,41758,半導體業
230320190603 ,2019/6/3,2303,聯電,12.8,13.25,12.7,13.2,41217,半導體業
230320190531 ,2019/5/31,2303,聯電,12.65,12.95,12.65,12.9,29741,半導體業
230320190530 ,2019/5/30,2303,聯電,12.7,12.8,12.55,12.75,43693,半導體業
230320190529 ,2019/5/29,2303,聯電,12.3,12.6,12.15,12.6,32266,半導體業
230320190528 ,2019/5/28,2303,聯電,12.8,12.8,12.4,12.45,86814,半導體業
230320190527 ,2019/5/27,2303,聯電,13,13.05,12.8,12.8,25262,半導體業
230320190524 ,2019/5/24,2303,聯電,12.95,13.1,12.9,12.95,27754,半導體業
230320190523 ,2019/5/23,2303,聯電,12.85,13,12.75,12.85,46770,半導體業
230320190522 ,2019/5/22,2303,聯電,12.95,13.05,12.85,13,25561,半導體業
230320190521 ,2019/5/21,2303,聯電,12.7,13.05,12.65,12.95,39456,半導體業
230320190520 ,2019/5/20,2303,聯電,13.05,13.1,12.75,12.75,36419,半導體業
230320190517 ,2019/5/17,2303,聯電,13.1,13.25,12.95,13,52328,半導體業
230320190516 ,2019/5/16,2303,聯電,12.9,13,12.8,12.95,32193,半導體業
230320190515 ,2019/5/15,2303,聯電,12.95,13.15,12.9,12.9,54345,半導體業
230320190514 ,2019/5/14,2303,聯電,12.8,13.1,12.6,13,68436,半導體業
230320190513 ,2019/5/13,2303,聯電,13.1,13.2,12.95,12.95,34572,半導體業
230320190510 ,2019/5/10,2303,聯電,13.3,13.4,13.05,13.2,34773,半導體業
230320190509 ,2019/5/9,2303,聯電,13.4,13.45,13,13.15,61721,半導體業
230320190508 ,2019/5/8,2303,聯電,13.35,13.55,13.3,13.45,53979,半導體業
230320190507 ,2019/5/7,2303,聯電,13.35,13.65,13.25,13.6,53939,半導體業
230320190506 ,2019/5/6,2303,聯電,13.5,13.7,13.15,13.2,94171,半導體業
230320190503 ,2019/5/3,2303,聯電,13.55,13.9,13.55,13.85,87422,半導體業
230320190502 ,2019/5/2,2303,聯電,13.35,13.6,13.35,13.55,37508,半導體業
230320190430 ,2019/4/30,2303,聯電,13.35,13.5,13.3,13.45,63103,半導體業
230320190429 ,2019/4/29,2303,聯電,13.45,13.5,13.25,13.35,71900,半導體業
230320190426 ,2019/4/26,2303,聯電,13.1,13.45,12.95,13.45,216759,半導體業
230320190425 ,2019/4/25,2303,聯電,12.6,13.1,12.6,13.1,185935,半導體業
230320190424 ,2019/4/24,2303,聯電,12.05,12.1,11.85,11.95,39689,半導體業
230320190423 ,2019/4/23,2303,聯電,11.9,12,11.9,11.95,27169,半導體業
