id,t_date,code,name,p_open,p_high,p_low,p_close,volume,industrial
245420190731 ,2019/7/31,2454,聯發科,322,322,309,314.5,17760,半導體業
245420190730 ,2019/7/30,2454,聯發科,322,328,320.5,325.5,17119,半導體業
245420190729 ,2019/7/29,2454,聯發科,311,319.5,310,319,9084,半導體業
245420190726 ,2019/7/26,2454,聯發科,309.5,315,308,313.5,4495,半導體業
245420190725 ,2019/7/25,2454,聯發科,310,313,308,313,5466,半導體業
245420190724 ,2019/7/24,2454,聯發科,315,315.5,307.5,308,8461,半導體業
245420190723 ,2019/7/23,2454,聯發科,310,315,310,314.5,7586,半導體業
245420190722 ,2019/7/22,2454,聯發科,306,309.5,305.5,308.5,7019,半導體業
245420190719 ,2019/7/19,2454,聯發科,307.5,308,302.5,304.5,7334,半導體業
245420190718 ,2019/7/18,2454,聯發科,311,311,301,302,9600,半導體業
245420190717 ,2019/7/17,2454,聯發科,313,314,308.5,310,6796,半導體業
245420190716 ,2019/7/16,2454,聯發科,315.5,317.5,313,314,5076,半導體業
245420190715 ,2019/7/15,2454,聯發科,318.5,319,313.5,314.5,5195,半導體業
245420190712 ,2019/7/12,2454,聯發科,321.5,322,318,318,3206,半導體業
245420190711 ,2019/7/11,2454,聯發科,320,324,319,322.5,6721,半導體業
245420190710 ,2019/7/10,2454,聯發科,317,319,315.5,318,4384,半導體業
245420190709 ,2019/7/9,2454,聯發科,314.5,316,313,313.5,3739,半導體業
245420190708 ,2019/7/8,2454,聯發科,312,315.5,312,314,5707,半導體業
245420190705 ,2019/7/5,2454,聯發科,319.5,322,318.5,321,6691,半導體業
245420190704 ,2019/7/4,2454,聯發科,320,320.5,317.5,319,4091,半導體業
245420190703 ,2019/7/3,2454,聯發科,322,326.5,316,317.5,8819,半導體業
245420190702 ,2019/7/2,2454,聯發科,314,319,313.5,319,7759,半導體業
245420190701 ,2019/7/1,2454,聯發科,315,317,312.5,314,8268,半導體業
245420190628 ,2019/6/28,2454,聯發科,314,315.5,311,314,4212,半導體業
245420190627 ,2019/6/27,2454,聯發科,314,315.5,312.5,313,5353,半導體業
245420190626 ,2019/6/26,2454,聯發科,312.5,313,309.5,310.5,3336,半導體業
245420190625 ,2019/6/25,2454,聯發科,313.5,315,309,311.5,3244,半導體業
245420190624 ,2019/6/24,2454,聯發科,311.5,315.5,310,315.5,4463,半導體業
245420190621 ,2019/6/21,2454,聯發科,312,316,310,313.5,9233,半導體業
245420190620 ,2019/6/20,2454,聯發科,311,313,308,310,4674,半導體業
245420190619 ,2019/6/19,2454,聯發科,314.5,315,307.5,308.5,8116,半導體業
245420190618 ,2019/6/18,2454,聯發科,304,309,304,308.5,6586,半導體業
245420190617 ,2019/6/17,2454,聯發科,305,307,300,300.5,6753,半導體業
245420190614 ,2019/6/14,2454,聯發科,311,312.5,306,307,4801,半導體業
245420190613 ,2019/6/13,2454,聯發科,309.5,316.5,308.5,309.5,6907,半導體業
245420190612 ,2019/6/12,2454,聯發科,308.5,312.5,306.5,309.5,4459,半導體業
245420190611 ,2019/6/11,2454,聯發科,310,314,308,308,8925,半導體業
245420190610 ,2019/6/10,2454,聯發科,313,316.5,310,316,8082,半導體業
245420190606 ,2019/6/6,2454,聯發科,312,312,305.5,307,6146,半導體業
245420190605 ,2019/6/5,2454,聯發科,317,319.5,312.5,313,9335,半導體業
245420190604 ,2019/6/4,2454,聯發科,316,318,311,311,8773,半導體業
245420190603 ,2019/6/3,2454,聯發科,308.5,316.5,304,314,13078,半導體業
245420190531 ,2019/5/31,2454,聯發科,298.5,313,297,311,15580,半導體業
245420190530 ,2019/5/30,2454,聯發科,284.5,298.5,284.5,296.5,10940,半導體業
245420190529 ,2019/5/29,2454,聯發科,277.5,280.5,275,280.5,5040,半導體業
245420190528 ,2019/5/28,2454,聯發科,283,283.5,279.5,280.5,7631,半導體業
245420190527 ,2019/5/27,2454,聯發科,287,288.5,276.5,281,7624,半導體業
245420190524 ,2019/5/24,2454,聯發科,294.5,294.5,286,287,5172,半導體業
245420190523 ,2019/5/23,2454,聯發科,291,295,289,292,9876,半導體業
245420190522 ,2019/5/22,2454,聯發科,290,290.5,286.5,287.5,3821,半導體業
245420190521 ,2019/5/21,2454,聯發科,287,292.5,286.5,290.5,5505,半導體業
245420190520 ,2019/5/20,2454,聯發科,291.5,293,286.5,290,5080,半導體業
245420190517 ,2019/5/17,2454,聯發科,291.5,296.5,289,291,8935,半導體業
245420190516 ,2019/5/16,2454,聯發科,290,292,286,288,4928,半導體業
245420190515 ,2019/5/15,2454,聯發科,290,293.5,287.5,290,5782,半導體業
245420190514 ,2019/5/14,2454,聯發科,279,289,276.5,289,8107,半導體業
245420190513 ,2019/5/13,2454,聯發科,300,300,285.5,286.5,7964,半導體業
245420190510 ,2019/5/10,2454,聯發科,303,305.5,293,298.5,7160,半導體業
245420190509 ,2019/5/9,2454,聯發科,311,314,300,300,9557,半導體業
245420190508 ,2019/5/8,2454,聯發科,308,311,304.5,310,9096,半導體業
245420190507 ,2019/5/7,2454,聯發科,309,313,307,311,12300,半導體業
245420190506 ,2019/5/6,2454,聯發科,304,306,301,306,12150,半導體業
245420190503 ,2019/5/3,2454,聯發科,304,310,301,309,18532,半導體業
245420190502 ,2019/5/2,2454,聯發科,307.5,307.5,298,298,21971,半導體業
245420190430 ,2019/4/30,2454,聯發科,290,295.5,287,295.5,8622,半導體業
245420190429 ,2019/4/29,2454,聯發科,289.5,291.5,286.5,287.5,4219,半導體業
245420190426 ,2019/4/26,2454,聯發科,286,290,283.5,290,3851,半導體業
245420190425 ,2019/4/25,2454,聯發科,289.5,291,286,288,3703,半導體業
245420190424 ,2019/4/24,2454,聯發科,292,292,287,289.5,3863,半導體業
245420190423 ,2019/4/23,2454,聯發科,290.5,290.5,285,290,4919,半導體業
245420190422 ,2019/4/22,2454,聯發科,292,293.5,288.5,289,3197,半導體業
245420190419 ,2019/4/19,2454,聯發科,293.5,294,288.5,290,3334,半導體業
245420190418 ,2019/4/18,2454,聯發科,289.5,293.5,289,291,10978,半導體業
245420190417 ,2019/4/17,2454,聯發科,294.5,299,287.5,288.5,19674,半導體業
245420190416 ,2019/4/16,2454,聯發科,299,301.5,297.5,300,8003,半導體業
245420190415 ,2019/4/15,2454,聯發科,298,299,295.5,296.5,7181,半導體業
245420190412 ,2019/4/12,2454,聯發科,294,297,292,293.5,6380,半導體業
245420190411 ,2019/4/11,2454,聯發科,298,303,291,291.5,12175,半導體業
245420190410 ,2019/4/10,2454,聯發科,300,304.5,298,300,12410,半導體業
245420190409 ,2019/4/9,2454,聯發科,294,300,291,299.5,9915,半導體業
245420190408 ,2019/4/8,2454,聯發科,289,294.5,289,294.5,8346,半導體業
245420190403 ,2019/4/3,2454,聯發科,289.5,291.5,287,290.5,6656,半導體業
245420190402 ,2019/4/2,2454,聯發科,290,291.5,288,290.5,9730,半導體業
245420190401 ,2019/4/1,2454,聯發科,284.5,287,284,285.5,6931,半導體業
