id,t_date,code,name,p_open,p_high,p_low,p_close,volume,ma5,ma10,ma20,ma60,ma22,ma46,ma92,ma95,ma200,ma400,industrial
245420190731,2019/7/31,2454,聯發科,322,322,309,314.5,17760,317.1,312.3,314.38,306.47,314.73,311.02,300.92,300.15,266.95,281.8,半導體業
245420190730,2019/7/30,2454,聯發科,322,328,320.5,325.5,17119,315.8,311.85,314.52,306.41,314.7,310.29,300.5,299.71,266.6,281.76,半導體業
245420190729,2019/7/29,2454,聯發科,311,319.5,310,319,9084,313.6,310.7,314.2,306.08,314.18,309.46,299.98,299.16,266.2,281.66,半導體業
245420190726,2019/7/26,2454,聯發科,309.5,315,308,313.5,4495,311.5,310.25,313.95,305.92,313.91,308.87,299.52,298.65,265.86,281.58,半導體業
245420190725,2019/7/25,2454,聯發科,310,313,308,313,5466,309.7,310.7,313.98,305.66,313.77,308.3,299.07,298.19,265.52,281.59,半導體業
245420190724,2019/7/24,2454,聯發科,315,315.5,307.5,308,8461,307.5,311.65,313.98,305.37,313.7,307.82,298.64,297.71,265.16,281.61,半導體業
245420190723,2019/7/23,2454,聯發科,310,315,310,314.5,7586,307.9,312.65,314.1,305.02,314.05,307.42,298.23,297.35,264.83,281.62,半導體業
245420190722,2019/7/22,2454,聯發科,306,309.5,305.5,308.5,7019,307.8,312.55,313.95,304.62,314,306.91,297.74,296.99,264.48,281.65,半導體業
245420190719,2019/7/19,2454,聯發科,307.5,308,302.5,304.5,7334,309,313.1,314.3,304.28,314.07,306.47,297.3,296.62,264.15,281.72,半導體業
245420190718,2019/7/18,2454,聯發科,311,311,301,302,9600,311.7,314.75,314.75,304.02,314.25,306.15,296.97,296.33,263.82,281.78,半導體業
245420190717,2019/7/17,2454,聯發科,313,314,308.5,310,6796,315.8,316.45,315.15,303.82,314.55,305.87,296.73,296.09,263.53,281.86,半導體業
245420190716,2019/7/16,2454,聯發科,315.5,317.5,313,314,5076,317.4,317.2,315.08,303.48,314.11,305.36,296.33,295.74,263.2,281.9,半導體業
245420190715,2019/7/15,2454,聯發科,318.5,319,313.5,314.5,5195,317.3,317.7,314.8,303.08,313.8,305.02,295.92,295.41,262.85,281.93,半導體業
245420190712,2019/7/12,2454,聯發科,321.5,322,318,318,3206,317.2,317.65,314.1,302.68,313.57,304.71,295.55,294.88,262.51,281.96,半導體業
245420190711,2019/7/11,2454,聯發科,320,324,319,322.5,6721,317.8,317.25,313.55,302.19,313.18,304.53,295.1,294.26,262.13,281.97,半導體業
