t_date,code,p_open,p_high,p_low,p_close,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred,pred_up,pred_down
2014/2/18,2881,42.7,43,42.3,43,7955,3100375,5256,-774,-274,1.46,13.31,2.33,º¦,1,0
2014/2/19,2881,42.6,43.2,42.6,43.2,12125,3106075,5701,131,-924,1.47,13.37,2.31,º¦,1,0
2014/2/20,2881,43.1,43.1,42.75,43.05,7531,3108905,2830,-387,-445,1.46,13.33,2.32,¶^,0,1
2014/2/21,2881,43.25,43.5,43.2,43.4,8725,3113214,4036,-206,81,1.47,13.44,2.3,º¦,1,0
2014/2/24,2881,42.85,42.9,42,42.3,23030,3114875,1076,-2735,818,1.43,13.1,2.36,¶^,0,1
2014/2/25,2881,42.2,42.3,42,42.2,17748,3115195,320,-2533,1054,1.43,13.07,2.37,¶^,0,1
2014/2/26,2881,42.15,42.35,42,42,14456,3112592,-2603,-595,195,1.42,13,2.38,¶^,0,1
2014/2/27,2881,42.4,42.4,42.05,42.35,13450,3115929,3337,-1250,9,1.44,13.11,2.36,º¦,1,0
2014/3/3,2881,42.1,42.35,41.4,41.95,21739,3111652,-4714,-3107,-915,1.42,12.99,2.38,¶^,0,1
2014/3/4,2881,41.7,41.9,41.5,41.6,11818,3108864,-3171,-90,417,1.41,12.88,2.4,¶^,0,1
2014/3/5,2881,41.95,42,41.6,41.75,8139,3107951,-912,-104,-182,1.42,12.93,2.4,º¦,1,0
2014/3/6,2881,42,42,41.6,42,17179,3105184,-2767,-111,1468,1.42,13,2.38,º¦,1,0
2014/3/7,2881,42.05,42.5,42.05,42.3,19543,3104051,-1715,-64,304,1.43,13.1,2.36,º¦,1,0
2014/3/10,2881,42,42.15,41.5,41.5,17588,3093160,-10890,-320,792,1.41,12.85,2.41,¶^,0,1
2014/3/11,2881,41.9,42,41.5,41.5,17002,3086557,-6603,-200,-12,1.41,12.85,2.41,¥­,0,0
2014/3/12,2881,41.4,41.75,41.3,41.5,15646,3077956,-8600,0,229,1.41,12.85,2.41,¥­,0,0
2014/3/13,2881,41.5,42.2,41.4,41.5,27172,3061496,-16459,-125,2539,1.41,12.85,2.41,¥­,0,0
2014/3/14,2881,41.4,41.75,41.3,41.35,14467,3057722,-3523,72,-997,1.4,12.8,2.42,¶^,0,1
2014/3/17,2881,41.2,41.7,41.15,41.7,9917,3060514,2792,-721,-528,1.41,12.91,2.4,º¦,1,0
2014/3/18,2881,42,42.1,41.75,41.8,20022,3053119,-7145,714,560,1.42,12.94,2.39,º¦,1,0
2014/3/19,2881,41.75,41.8,41.3,41.35,15969,3044204,-9278,277,-724,1.4,12.8,2.42,¶^,0,1
2014/3/20,2881,41.2,41.2,40.5,40.5,24721,3034002,-10178,-368,-933,1.37,12.54,2.47,¶^,0,1
2014/3/21,2881,40.7,40.85,40.5,40.55,16767,3032935,-2014,0,527,1.38,12.55,2.47,º¦,1,0
2014/3/24,2881,40.35,40.55,40.2,40.55,19454,3037837,4903,-310,-424,1.38,12.55,2.47,¥­,0,0
2014/3/25,2881,40.55,41.3,40.55,41,15225,3037198,-639,1640,-341,1.39,12.69,2.44,º¦,1,0
2014/3/26,2881,41.4,41.4,41,41.1,12122,3038038,840,-1791,-982,1.39,12.72,2.43,º¦,1,0
2014/3/27,2881,41.1,41.3,41,41.1,15335,3034473,-3564,-1769,203,1.39,12.72,2.43,¥­,0,0
2014/3/28,2881,41,41.3,40.75,41.3,17857,3035535,627,-120,-465,1.4,12.79,2.42,º¦,1,0
2014/3/31,2881,41.4,41.4,40.85,41.3,12610,3038538,1990,-1000,-315,1.4,12.79,2.42,¥­,0,0
2014/4/1,2881,41.3,41.4,41.15,41.4,8016,3041944,3407,74,-437,1.34,12.82,2.42,º¦,1,0
2014/4/2,2881,41.5,41.8,41.3,41.8,10885,3048371,5186,0,106,1.35,13.06,2.39,º¦,1,0
2014/4/3,2881,41.8,41.95,41.3,41.6,17087,3048201,-1729,1,358,1.35,13,2.4,¶^,0,1
2014/4/7,2881,41.1,41.6,41.1,41.5,13929,3048439,-481,-35,36,1.34,12.97,2.41,¶^,0,1
2014/4/8,2881,41.45,41.55,41.2,41.2,8288,3046121,-2318,-24,752,1.33,12.88,2.43,¶^,0,1
2014/4/9,2881,41.6,41.6,41.15,41.3,14939,3041427,-3300,0,143,1.34,12.91,2.42,º¦,1,0
2014/4/10,2881,41.75,41.8,41.5,41.8,16442,3040189,-1248,20,-1289,1.35,13.06,2.39,º¦,1,0
2014/4/11,2881,41.6,41.85,41.55,41.85,10436,3043363,3175,50,-104,1.35,13.08,2.39,º¦,1,0
2014/4/14,2881,41.85,41.85,41.55,41.65,8244,3044157,794,500,-21,1.35,13.02,2.4,¶^,0,1
2014/4/15,2881,41.85,41.85,41.55,41.55,10387,3043632,-524,624,-359,1.34,12.98,2.41,¶^,0,1
2014/4/16,2881,41.45,41.75,41.45,41.6,16397,3048974,5343,-1635,-1296,1.35,13,2.4,º¦,1,0
2014/4/17,2881,41.8,41.8,41.45,41.6,8547,3050864,1890,-391,-191,1.35,13,2.4,¥­,0,0
2014/4/18,2881,41.5,41.6,41.4,41.55,6258,3052060,1196,-980,110,1.34,12.98,2.41,¶^,0,1
2014/4/21,2881,41.4,41.5,41.1,41.1,8757,3047190,-4870,-32,1057,1.33,12.84,2.43,¶^,0,1
2014/4/22,2881,41.2,41.5,41.15,41.3,6840,3049217,1136,-1415,-73,1.34,12.91,2.42,º¦,1,0
2014/4/23,2881,41.1,41.3,40.65,40.75,19165,3049462,246,-1554,-38,1.32,12.73,2.45,¶^,0,1
2014/4/24,2881,40.75,40.75,40.45,40.65,18123,3051644,2182,-3668,40,1.31,12.7,3.69,¶^,0,1
2014/4/25,2881,40.5,40.55,39.5,39.75,21882,3047631,-5095,-1471,-931,1.29,12.42,3.77,¶^,0,1
2014/4/28,2881,39,39.45,39,39.15,23885,3043256,-4375,107,72,1.27,12.23,3.83,¶^,0,1
2014/4/29,2881,39.5,39.5,39.05,39.15,22244,3043850,253,87,1495,1.27,12.23,3.83,¥­,0,0
2014/4/30,2881,39.2,39.4,39,39,17540,3041355,-2494,127,9,1.26,12.19,3.85,¶^,0,1
2014/5/2,2881,39.2,39.75,39.1,39.6,11528,3048013,6653,79,-388,1.28,12.38,3.79,º¦,1,0
2014/5/5,2881,39.95,39.95,39.05,39.15,10557,3046817,-1196,100,836,1.27,12.23,3.83,¶^,0,1
2014/5/6,2881,39.15,40.25,38.85,40.15,18776,3045974,-843,-291,1541,1.3,12.55,3.74,º¦,1,0
2014/5/7,2881,40.15,40.2,39.6,39.7,18012,3039819,-6154,358,-15,1.28,12.41,3.78,¶^,0,1
2014/5/8,2881,39.8,40.55,39.75,40,20838,3037075,-2962,326,386,1.29,12.5,3.75,º¦,1,0
2014/5/9,2881,40.3,40.5,39.9,40,16364,3029942,-7132,100,13,1.29,12.5,3.75,¥­,0,0
2014/5/12,2881,40.2,40.2,39.6,39.85,6500,3028172,-1771,-200,23,1.29,12.45,3.76,¶^,0,1
2014/5/13,2881,39.9,40,39.4,39.45,15504,3025897,-2639,-1648,1208,1.28,12.33,3.8,¶^,0,1
2014/5/14,2881,39.45,40.05,39.4,40.05,14306,3027218,1286,1726,-138,1.3,12.52,3.75,º¦,1,0
2014/5/15,2881,39.8,39.85,39.65,39.85,6446,3025765,-1453,-44,812,1.17,12.45,3.76,¶^,0,1
2014/5/16,2881,39.5,40.2,39.45,40.2,15061,3026601,836,1063,-313,1.18,11.29,3.73,º¦,1,0
