t_date,p_close,code,volume,fi_st,fi_netbs,it_netbs,sq_netbs,pbr,per,dividend_yield,pred_days
2014/4/14,17.75,2801,8614,1019092,1443,-1910,-23,1.22,15.57,4.51,C
2014/4/15,17.75,2801,10048,1017907,-1185,-2300,-116,1.22,15.57,4.51,C
2014/4/17,17.95,2801,4260,1018604,886,-20,-89,1.24,15.75,4.46,C
2014/4/18,18,2801,4050,1019121,507,-2,-48,1.24,15.79,4.44,C
2014/4/21,17.9,2801,3862,1019144,23,-1046,58,1.23,15.7,4.47,D
2014/4/22,17.95,2801,2684,1019893,-64,-4,0,1.24,15.75,4.46,C
2014/4/23,17.75,2801,4137,1019798,90,-5,-49,1.22,15.57,4.51,C
2014/4/24,17.8,2801,3658,1021079,1281,0,-1,1.23,15.61,4.49,C
2014/6/17,18.25,2801,5853,1025750,-282,-1000,136,1.22,14.72,4.38,A
2014/6/25,18.5,2801,2900,1016683,800,-7,0,1.24,14.92,4.32,A
2014/6/26,18.55,2801,4041,1018027,1294,0,44,1.24,14.96,4.31,A
2014/6/27,18.45,2801,3968,1018042,805,0,4,1.24,14.88,4.34,A
2014/6/30,18.5,2801,4388,1018299,209,-54,95,1.24,14.92,4.32,A
2014/7/1,18.55,2801,4066,1020273,2013,0,186,1.24,14.96,4.31,A
2014/7/2,18.6,2801,5715,1022915,2557,-790,-95,1.25,15,4.3,A
2014/7/3,18.5,2801,2530,1018855,651,-371,-20,1.24,14.92,4.32,A
2014/7/8,18.65,2801,4216,1021379,2665,-7,95,1.25,15.04,4.29,E
2014/7/9,18.8,2801,5182,1024203,2824,0,156,1.26,15.16,4.26,E
2014/7/10,19,2801,11272,1021970,-1817,0,351,1.27,15.32,4.21,E
2014/7/11,18.7,2801,4795,1022660,2161,0,553,1.25,15.08,4.28,D
2014/7/14,18.8,2801,8154,1025747,3229,-600,268,1.26,15.16,4.26,D
2014/7/15,19.25,2801,22674,1026397,525,-433,653,1.29,15.52,4.16,E
2014/7/16,19,2801,11232,1028531,1420,0,207,1.27,15.32,4.21,D
2014/7/17,19.05,2801,10140,1038097,5112,-718,667,1.28,15.36,4.2,D
2014/7/18,18.95,2801,8341,1043087,4990,21,462,1.27,15.28,4.22,D
2014/7/21,19,2801,7990,1047342,4350,0,708,1.27,15.32,4.21,D
2014/7/22,19.2,2801,5488,1050828,3597,24,557,1.29,15.48,4.17,D
2014/7/24,19.5,2801,7917,1053617,2844,30,634,1.31,15.73,4.1,D
2014/7/25,19.55,2801,10699,1057674,3651,8,208,1.31,15.77,4.09,D
2014/7/28,19.8,2801,9244,1061310,3509,-1100,400,1.33,15.97,4.04,E
2014/7/29,19.5,2801,20490,1064426,3573,30,-5050,1.31,15.73,4.1,D
2014/7/30,19.8,2801,14374,1069688,5262,107,991,1.33,15.97,4.04,E
2014/7/31,19.7,2801,13301,1067820,-1369,46,2135,1.32,15.89,4.06,D
