id,t_date,code,name,p_open,p_high,p_low,p_close,volume
3.0452E+11,2019/7/24,3045,台灣大,110.5,111,109.5,109.5,5363
3.0452E+11,2019/7/23,3045,台灣大,111,111,110.5,110.5,2365
3.0452E+11,2019/7/22,3045,台灣大,111,111.5,110.5,111,4789
3.0452E+11,2019/7/19,3045,台灣大,110.5,111,110,111,2839
5.8802E+11,2019/7/24,5880,合庫金,21,21.1,21,21,8336
5.8802E+11,2019/7/23,5880,合庫金,21.05,21.1,21,21,4738
5.8802E+11,2019/7/22,5880,合庫金,21,21.2,21,21.05,9161
5.8802E+11,2019/7/19,5880,合庫金,21,21.05,20.95,21.05,7647
2.8802E+11,2019/7/24,2880,華南金,21.4,21.45,21.35,21.45,9849
2.8802E+11,2019/7/23,2880,華南金,21.4,21.45,21.35,21.4,8930
2.8802E+11,2019/7/22,2880,華南金,21.3,21.45,21.3,21.4,8425
2.8802E+11,2019/7/19,2880,華南金,21.3,21.4,21.3,21.35,9211
2.9122E+11,2019/7/24,2912,統一超,304.5,304.5,301,301,943
2.9122E+11,2019/7/23,2912,統一超,304.5,306,304,304,928
2.9122E+11,2019/7/22,2912,統一超,306.5,306.5,303.5,306,867
2.9122E+11,2019/7/19,2912,統一超,303.5,306.5,303.5,306.5,1439
5.8762E+11,2019/7/24,5876,上海商銀,54.9,55.5,53.5,53.5,8462
5.8762E+11,2019/7/23,5876,上海商銀,55.7,55.9,55.1,55.3,3836
5.8762E+11,2019/7/22,5876,上海商銀,56.3,56.4,56,56,1957
5.8762E+11,2019/7/19,5876,上海商銀,56.3,57,56,56.3,2813
2.4742E+11,2019/7/24,2474,可成,229.5,231.5,228.5,230,3164
2.4742E+11,2019/7/23,2474,可成,228,231,227,229.5,4367
2.4742E+11,2019/7/22,2474,可成,226,227,224,226,2059
2.4742E+11,2019/7/19,2474,可成,225,226.5,223,226,3362
2.2072E+11,2019/7/24,2207,和泰車,464.5,465,445.5,457,718
2.2072E+11,2019/7/23,2207,和泰車,465,471,457.5,460,389
2.2072E+11,2019/7/22,2207,和泰車,479,479,460,461.5,488
2.2072E+11,2019/7/19,2207,和泰車,493,493,479,479,270
2.3822E+11,2019/7/24,2382,廣達,61.8,61.8,61,61,10094
2.3822E+11,2019/7/23,2382,廣達,61.4,61.6,60.9,61.1,7621
2.3822E+11,2019/7/22,2382,廣達,60.9,61.7,60.9,61.5,3444
2.3822E+11,2019/7/19,2382,廣達,61.7,62,60.8,60.9,8467
2.3032E+11,2019/7/24,2303,聯電,13.7,13.9,13.6,13.85,36239
2.3032E+11,2019/7/23,2303,聯電,13.6,13.75,13.55,13.6,29468
2.3032E+11,2019/7/22,2303,聯電,13.75,13.85,13.55,13.6,32143
2.3032E+11,2019/7/19,2303,聯電,13.9,14.05,13.8,13.8,27177
2.3572E+11,2019/7/24,2357,華碩,225.5,226.5,224.5,226,1528
2.3572E+11,2019/7/23,2357,華碩,224,224.5,222,224.5,971
2.3572E+11,2019/7/22,2357,華碩,222,224.5,220,224,1315
2.3572E+11,2019/7/19,2357,華碩,219,222,219,222,2028
5.8712E+11,2019/7/24,5871,中租-KY,136,137.5,135,136,2176
5.8712E+11,2019/7/23,5871,中租-KY,139.5,140,136,136,3449
5.8712E+11,2019/7/22,5871,中租-KY,139.5,140.5,139,139.5,2691
5.8712E+11,2019/7/19,5871,中租-KY,138.5,140.5,138,139,2778
6.5052E+11,2019/7/24,6505,台塑化,107,107.5,105.5,106,2823
6.5052E+11,2019/7/23,6505,台塑化,107.5,107.5,107,107.5,1254
6.5052E+11,2019/7/22,6505,台塑化,106.5,108,106.5,107.5,871
6.5052E+11,2019/7/19,6505,台塑化,107,107.5,106,106.5,1525
