id,t_date,code,name,p_open,p_high,p_low,p_close,volume
233020190725,2019/07/25,2330,台積電,264.00,265.00,261.50,265.00,30434
231720190725,2019/07/25,2317,鴻海,78.00,79.30,77.80,78.60,62909
130120190725,2019/07/25,1301,台塑,101.00,101.50,100.50,101.50,6319
245420190725,2019/07/25,2454,聯發科,310.00,313.00,308.00,313.00,5466
130320190725,2019/07/25,1303,南亞,71.20,71.60,71.20,71.60,8319
241220190725,2019/07/25,2412,中華電,107.00,107.50,107.00,107.00,23214
121620190725,2019/07/25,1216,統一,81.50,82.60,81.30,82.40,12777
300820190725,2019/07/25,3008,大立光,4280.00,4365.00,4245.00,4365.00,706
289120190725,2019/07/25,2891,中信金,20.50,20.65,20.40,20.65,20718
132620190725,2019/07/25,1326,台化,96.20,97.30,96.10,96.10,4323
230820190725,2019/07/25,2308,台達電,151.50,152.00,149.50,149.50,6179
288220190725,2019/07/25,2882,國泰金,41.15,41.30,41.10,41.20,8133
288120190725,2019/07/25,2881,富邦金,43.45,43.90,43.45,43.90,4880
288620190725,2019/07/25,2886,兆豐金,32.20,32.50,32.20,32.25,13272
200220190725,2019/07/25,2002,中鋼,24.00,24.25,24.00,24.10,28287
288420190725,2019/07/25,2884,玉山金,26.00,26.90,26.00,26.30,107962
289220190725,2019/07/25,2892,第一金,23.05,23.15,23.00,23.15,11270
110120190725,2019/07/25,1101,台泥,44.80,44.80,44.30,44.30,18027
288520190725,2019/07/25,2885,元大金,17.55,17.60,17.45,17.45,18831
371120190725,2019/07/25,3711,日月光投控,71.00,71.10,70.00,71.00,4949
304520190725,2019/07/25,3045,台灣大,109.50,110.50,109.00,110.00,6366
588020190725,2019/07/25,5880,合庫金,21.00,21.20,20.95,21.20,8989
288020190725,2019/07/25,2880,華南金,21.45,21.75,21.40,21.70,15999
291220190725,2019/07/25,2912,統一超,302.00,305.00,301.50,304.00,802
587620190725,2019/07/25,5876,上海商銀,53.30,53.40,51.70,51.70,14892
247420190725,2019/07/25,2474,可成,230.00,233.50,229.00,231.00,3754
220720190725,2019/07/25,2207,和泰車,461.50,468.50,459.00,460.50,361
238220190725,2019/07/25,2382,廣達,61.00,61.60,61.00,61.50,11169
230320190725,2019/07/25,2303,聯電,13.85,13.95,13.40,13.55,91753
235720190725,2019/07/25,2357,華碩,225.50,226.00,220.00,220.00,1717
587120190725,2019/07/25,5871,中租-KY,137.00,139.50,137.00,139.00,3201
650520190725,2019/07/25,6505,台塑化,106.00,107.50,105.50,107.00,1223
288720190725,2019/07/25,2887,台新金,14.60,14.75,14.55,14.75,16623
289020190725,2019/07/25,2890,永豐金,12.45,12.60,12.40,12.60,14979
140220190725,2019/07/25,1402,遠東新,30.55,30.65,30.25,30.25,9009
288320190725,2019/07/25,2883,開發金,9.27,9.29,9.25,9.25,17524
280120190725,2019/07/25,2801,彰銀,21.80,22.00,21.80,21.90,11647
490420190725,2019/07/25,4904,遠傳,71.60,72.10,71.60,71.80,2063
110220190725,2019/07/25,1102,亞泥,42.75,42.95,42.00,42.10,13051
493820190725,2019/07/25,4938,和碩,56.30,57.50,56.30,57.40,7485
232720190725,2019/07/25,2327,國巨,256.00,258.50,253.50,258.00,3648
990420190725,2019/07/25,9904,寶成,39.45,39.50,39.10,39.25,7684
239520190725,2019/07/25,2395,研華,268.00,271.00,267.00,268.00,1243
230120190725,2019/07/25,2301,光寶科,43.70,43.95,43.50,43.50,4555
263320190725,2019/07/25,2633,台灣高鐵,42.20,42.25,41.30,41.85,9228
240920190725,2019/07/25,2409,友達,8.88,8.89,8.81,8.81,45934
991020190725,2019/07/25,9910,豐泰,212.50,215.50,211.00,211.00,1102
210520190725,2019/07/25,2105,正新,39.65,40.20,39.65,40.10,3384
282320190725,2019/07/25,2823,中壽,25.85,26.00,25.75,25.80,5345
240820190725,2019/07/25,2408,南亞科,72.60,76.60,72.30,76.50,42286
