id,t_date,code,name,p_open,p_high,p_low,p_close,volume
233020190729,2019/07/29,2330,台積電,260.00,262.00,259.50,261.00,17509
231720190729,2019/07/29,2317,鴻海,78.30,78.70,78.00,78.40,18210
130120190729,2019/07/29,1301,台塑,100.50,101.50,100.00,101.00,5698
245420190729,2019/07/29,2454,聯發科,311.00,319.50,310.00,319.00,9084
130320190729,2019/07/29,1303,南亞,71.20,72.00,71.20,71.60,6478
241220190729,2019/07/29,2412,中華電,107.50,108.00,107.50,107.50,7032
121620190729,2019/07/29,1216,統一,81.00,81.10,79.60,80.30,8779
300820190729,2019/07/29,3008,大立光,4205.00,4240.00,4190.00,4205.00,435
289120190729,2019/07/29,2891,中信金,20.50,20.60,20.45,20.50,20736
132620190729,2019/07/29,1326,台化,95.80,96.10,95.00,95.30,8550
230820190729,2019/07/29,2308,台達電,149.00,150.50,149.00,150.00,2235
288220190729,2019/07/29,2882,國泰金,41.10,41.35,41.10,41.20,7393
288120190729,2019/07/29,2881,富邦金,43.40,43.65,43.40,43.55,6059
288620190729,2019/07/29,2886,兆豐金,32.30,32.30,32.10,32.10,15418
200220190729,2019/07/29,2002,中鋼,24.15,24.25,24.10,24.15,9175
288420190729,2019/07/29,2884,玉山金,26.15,26.15,25.80,25.85,35798
289220190729,2019/07/29,2892,第一金,23.10,23.20,23.05,23.10,12629
110120190729,2019/07/29,1101,台泥,44.85,45.10,44.75,44.85,13588
288520190729,2019/07/29,2885,元大金,17.35,17.80,17.35,17.75,12209
371120190729,2019/07/29,3711,日月光投控,69.00,70.30,69.00,69.90,5679
304520190729,2019/07/29,3045,台灣大,109.00,110.00,109.00,109.00,3114
588020190729,2019/07/29,5880,合庫金,21.05,21.20,21.05,21.10,7687
288020190729,2019/07/29,2880,華南金,21.70,21.80,21.65,21.70,10859
291220190729,2019/07/29,2912,統一超,302.00,304.50,302.00,304.00,1117
587620190729,2019/07/29,5876,上海商銀,51.90,52.10,51.60,52.10,4648
247420190729,2019/07/29,2474,可成,236.00,237.50,229.00,229.00,4372
220720190729,2019/07/29,2207,和泰車,450.00,460.50,446.00,459.50,345
238220190729,2019/07/29,2382,廣達,57.60,58.20,57.40,57.90,15764
230320190729,2019/07/29,2303,聯電,13.30,13.45,13.30,13.40,23291
235720190729,2019/07/29,2357,華碩,217.00,220.50,217.00,220.50,899
587120190729,2019/07/29,5871,中租-KY,141.00,142.50,140.50,141.00,3073
650520190729,2019/07/29,6505,台塑化,106.00,107.50,106.00,107.50,973
288720190729,2019/07/29,2887,台新金,14.65,14.70,14.60,14.70,9814
289020190729,2019/07/29,2890,永豐金,12.45,12.50,12.40,12.45,16473
140220190729,2019/07/29,1402,遠東新,30.15,30.35,30.10,30.35,4800
288320190729,2019/07/29,2883,開發金,9.29,9.35,9.29,9.35,10523
280120190729,2019/07/29,2801,彰銀,21.85,22.00,21.80,21.85,8169
490420190729,2019/07/29,4904,遠傳,71.60,71.80,71.60,71.60,1435
110220190729,2019/07/29,1102,亞泥,42.10,42.35,42.00,42.15,5422
493820190729,2019/07/29,4938,和碩,57.50,57.50,56.80,57.00,7321
232720190729,2019/07/29,2327,國巨,260.00,260.50,256.50,258.50,3226
990420190729,2019/07/29,9904,寶成,38.75,39.00,38.40,38.45,4057
239520190729,2019/07/29,2395,研華,262.50,263.50,261.00,261.50,948
230120190729,2019/07/29,2301,光寶科,43.10,43.90,43.10,43.55,5274
263320190729,2019/07/29,2633,台灣高鐵,41.45,42.20,41.45,41.65,7609
240920190729,2019/07/29,2409,友達,8.55,8.57,8.50,8.53,47959
991020190729,2019/07/29,9910,豐泰,207.00,212.00,207.00,210.00,837
210520190729,2019/07/29,2105,正新,40.20,40.20,39.95,40.00,3013
282320190729,2019/07/29,2823,中壽,25.55,25.95,25.55,25.75,6398
240820190729,2019/07/29,2408,南亞科,76.20,76.50,74.80,74.80,26992
